karat,name,fineness,category,color
8,8K,33.3,GOLD,YELLOW
88,8KW,33.3,GOLD,WHITE
81,8KR,33.3,GOLD,ROSE
9,9K,37.5,GOLD,YELLOW
98,9KW,37.5,GOLD,WHITE
91,9KR,37.5,GOLD,ROSE
10,10K,41.7,GOLD,YELLOW
108,10KW,41.7,GOLD,WHITE
101,10KR,41.7,GOLD,ROSE
14,14K,58.5,GOLD,YELLOW
148,14KW,58.5,GOLD,WHITE
141,14KR,58.5,GOLD,ROSE
18,18K,75,GOLD,YELLOW
188,18KW,75,GOLD,WHITE
181,18KR,75,GOLD,ROSE
24,24K,100,GOLD,YELLOW
200,BRONZE,100,BRONZE,YELLOW
304,STAINLESS,100,STAINLESS,WHITE
925PAJ,S925PAJ,95,SILVER,WHITE
925,925,92.5,SILVER,WHITE
S925,S925,92.5,SILVER,WHITE
9925,BG,35.6,BONDEDGOLD,YELLOW