US,UK,EU,DE,BR,ASIA,SWISS
3,F 1/2,44,14,7 ,4 ,4
3 1/4,G,44.5 ,14.25 ,8 ,5 ,5
3 1/2,G 1/2,45.5 ,14.50 ,9 ,- ,5.5 
3 3/4,H,46,14.75 ,- ,6 ,6
4,H 1/2,46.5 ,15,10 ,7 ,7
4 1/4,I,47,- ,- ,- ,7.5 
4 1/2,J,48,15.25 ,11 ,8 ,8
4 3/4,J 1/2,48.5 ,15.50 ,12 ,- ,9
5,K,49,15.75 ,13 ,9 ,9.5 
5 1/4,K 1/2,50,- ,- ,10 ,10
5 1/2,L,50.5 ,16,14 ,- ,10.5 
5 3/4,L 1/2,51,16.25 ,- ,11 ,11.5 
6,M,51.5 ,16.50 ,15 ,- ,12
6 1/4,M 1/2,52.5 ,16.75 ,16 ,12 ,12.5 
6 1/2,N,53,17,- ,13 ,13.5 
6 3/4,N 1/2,53.5 ,- ,17 ,- ,14
7,O,54.5 ,17.25 ,- ,14 ,14.5 
7 1/4,O 1/2,55,17.50 ,18 ,- ,15
7 1/2,P,55.5 ,17.75 ,19 ,15 ,16
7 3/4,P 1/2,56.5 ,18,- ,16 ,16.5 
8,Q,57,18.25 ,20 ,- ,17
8 1/4,Q 1/2,57.5 ,- ,- ,17 ,18
8 1/2,R,58,18.50 ,21 ,- ,18.5 
8 3/4,R 1/2,59,18.75 ,22 ,18 ,19
9,S,59.5 ,19,- ,19 ,20
9 1/4,S 1/2,60,19.25 ,23 ,- ,20.5 
9 1/2,T,61,19.50 ,24 ,20 ,21
9 3/4,T 1/2,61.5 ,19.75 ,- ,- ,21.5 
10,U,62,20,25 ,21 ,22.5 
10 1/4,U 1/2,63,- ,- ,22 ,23
10 1/2,V,63.5 ,20.25 ,26 ,- ,23.5 
10 3/4,V 1/2,64,20.50 ,27 ,23 ,24.5 
11,W,64.5 ,20.75 ,- ,24 ,25
11 1/4,W 1/2,65.5 ,- ,28 ,- ,25.5 
11 1/2,X,66,21,- ,25 ,26
11 3/4,X 1/2,66.5 ,21.25 ,29 ,26 ,27
12,Y,67.5 ,21.50 ,30 ,- ,27.5 
12 1/4,Y 1/2,68,21.75 ,- ,27 ,28
12 1/2,Z,68.5 ,22,31 ,28 ,29
12 3/4,Z 1/2,69,- ,- ,- ,29.5 
13,Z+1,70,22.25 ,32 ,29 ,30
13 1/4,Z+1 1/2,70.5 ,22.50 ,33 ,- ,31
13 1/2,Z+2,71,- ,34 ,30 ,32
13 3/4,Z+2 1/2,71.5 ,22.75 ,35 ,- ,32.5 
14,Z+3,72,23,- ,31 ,33
14 1/4,Z+3 1/2,72.5 ,23.25 ,35 ,32 ,33.5 
14 1/2,Z+4,73.5 ,23.50 ,- ,- ,34.5 
14 3/4,Z+4 1/2,74,- ,36 ,33 ,35
15,Z+5,74.5 ,23.75 ,37 ,- ,36
15 1/4,Z+5 1/2,75,24,- ,34 ,36.5 
15 1/2,Z+6,76,24.25 ,38 ,- ,37
15 3/4,Z+6 1/2,76.5 ,24.50 ,- ,35 ,37.5 
16,Z+7,77,- ,39 ,- ,38.5 